hour,minute,color,type,dest,rem
5,32,,,西都城,
5,46,express,きりしま1,鹿児島中央,
6,14,,,田野,
6,56,,,西都城,
7,7,express,きりしま3,鹿児島中央,
7,29,,,南宮崎,
7,33,,,西都城,
8,15,,,南宮崎,
8,19,,,田野,
8,46,,,都城,
9,13,,,南宮崎,
9,20,express,きりしま5,鹿児島中央,
9,52,,,西都城,
10,20,express,きりしま7,鹿児島中央,
10,50,,,都城,
11,50,,,西都城,
12,20,express,きりしま9,鹿児島中央,
12,50,,,西都城,
13,50,,,西都城,
14,20,express,きりしま11,鹿児島中央,
14,50,,,西都城,
15,50,,,西都城,
16,20,express,きりしま13,鹿児島中央,
16,50,,,西都城,
17,20,express,きりしま15,鹿児島中央,
17,50,,,西都城,
18,4,,,南宮崎,
18,52,,,西都城,
19,0,express,きりしま17,鹿児島中央,
19,4,,,南宮崎,
19,50,,,西都城,
20,4,,,南宮崎,
20,50,,,西都城,
21,21,express,にちりん15,南宮崎,
21,36,,,都城,
22,10,,,南宮崎,
22,57,,,南宮崎,
23,0,,,都城,
23,32,express,にちりん17,南宮崎,
