hour,minute,color,type,dest,rem
5,54,express,にちりん2,大分,
6,1,,,延岡,
6,10,,,延岡,
6,35,,,高鍋,
6,58,express,にちりん4,大分,
7,10,,,延岡,
7,36,,,高鍋,
8,10,express,にちりん6,大分,
8,13,,,宮崎神宮,
8,28,,,延岡,
8,45,,,佐土原,
9,32,,,延岡,
10,29,express,にちりん8,大分,
10,59,,,延岡,
11,39,express,ひゅうが2,延岡,
11,51,express,36ぷらす3,別府,※2
11,57,,,延岡,
12,25,express,にちりん10,大分,
13,31,express,ひゅうが4,延岡,
13,46,,,延岡,
14,36,express,にちりん12,大分,
14,49,,,延岡,
15,16,,日向新富,
15,36,express,ひゅうが6,延岡,
15,44,,,延岡,
16,13,,,日向新富,
16,39,express,にちりんシーガイア14,博多,
16,44,,,延岡,
17,05,,,高鍋,
17,31,express,にちりん16,小倉,
17,47,,,延岡,
18,17,,,日向新富,
18,33,express,ひゅうが8,延岡,
19,00,,,延岡,
19,35,express,ひゅうが10,延岡,
19,49,,,延岡,
20,34,express,ひゅうが12,延岡,
20,59,,,延岡,
21,35,express,ひゅうが14,延岡,
21,52,,,延岡,
22,42,express,ひゅうが16,延岡,
22,53,,,延岡,
23,19,express,ひゅうが18,延岡,
23,28,,,高鍋,
