hour,minute,color,type,dest
5,47,express,にちりん2,大分
5,53,,,延岡
6,07,,,延岡
6,31,,,高鍋
6,53,express,にちりん4,大分
7,17,,,延岡
7,29,,,高鍋
8,00,,,佐土原
8,10,express,にちりん6,大分
8,28,,,延岡
8,51,,,高鍋
9,28,,,延岡
10,05,,,延岡
10,30,express,にちりん8,大分
11,05,,,延岡
11,30,express,ひゅうが2,延岡
12,05,,,延岡
12,30,express,にちりん10,大分
13,05,,,延岡
13,30,express,ひゅうが4,延岡
14,05,,,延岡
14,30,express,にちりん12,大分
15,05,,,延岡
15,30,express,ひゅうが6,延岡
16,05,,,延岡
16,30,express,にちりん<br>シーガイア14,博多
16,40,,,高鍋
17,05,,,延岡
17,30,express,にちりん16,小倉
17,40,,,高鍋
18,05,,,延岡
18,30,express,ひゅうが8,延岡
18,40,,,高鍋
19,05,,,延岡
19,30,express,ひゅうが10,延岡
20,05,,,延岡
20,30,express,ひゅうが12,延岡
21,10,,,延岡
21,45,express,ひゅうが14,延岡
22,10,,,延岡
22,45,express,ひゅうが16,延岡
23,00,,,高鍋
